scenario,library,seed,messages,offered_rate,delay_ms,loss_percent,delivered,elapsed_sim_ms,goodput_msg_s,p50_ms,p95_ms,p99_ms,wire_bytes,wire_packets,lost_packets,harness_ns_per_delivery,complete
saturated-local,zcrudp,1,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,34.438,1
saturated-local,zcrudp,2,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,34.670,1
saturated-local,zcrudp,3,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,34.365,1
saturated-local,zcrudp,4,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,34.208,1
saturated-local,zcrudp,5,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,33.574,1
saturated-local,ENet,1,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,178.047,1
saturated-local,ENet,2,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,152.240,1
saturated-local,ENet,3,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,159.513,1
saturated-local,ENet,4,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,179.287,1
saturated-local,ENet,5,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,160.038,1
saturated-local,KCP-default,1,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,166.501,1
saturated-local,KCP-default,2,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,184.986,1
saturated-local,KCP-default,3,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,164.331,1
saturated-local,KCP-default,4,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,175.167,1
saturated-local,KCP-default,5,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,170.829,1
saturated-local,KCP-fast,1,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,71.167,1
saturated-local,KCP-fast,2,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,72.126,1
saturated-local,KCP-fast,3,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,71.487,1
saturated-local,KCP-fast,4,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,70.560,1
saturated-local,KCP-fast,5,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,75.668,1
saturated-wan,zcrudp,1,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,87.862,1
saturated-wan,zcrudp,2,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,80.508,1
saturated-wan,zcrudp,3,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,81.265,1
saturated-wan,zcrudp,4,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,80.123,1
saturated-wan,zcrudp,5,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,74.765,1
saturated-wan,ENet,1,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,205.675,1
saturated-wan,ENet,2,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,193.273,1
