scenario,library,seed,messages,offered_rate,delay_ms,loss_percent,delivered,elapsed_sim_ms,goodput_msg_s,p50_ms,p95_ms,p99_ms,wire_bytes,wire_packets,lost_packets,harness_ns_per_delivery,complete
saturated-local,zcrudp,1,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,28.608,1
saturated-local,zcrudp,2,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,27.446,1
saturated-local,zcrudp,3,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,27.357,1
saturated-local,zcrudp,4,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,31.732,1
saturated-local,zcrudp,5,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,27.958,1
saturated-local,ENet,1,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,176.263,1
saturated-local,ENet,2,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,165.654,1
saturated-local,ENet,3,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,164.927,1
saturated-local,ENet,4,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,164.422,1
saturated-local,ENet,5,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,162.831,1
saturated-local,KCP-default,1,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,170.417,1
saturated-local,KCP-default,2,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,185.767,1
saturated-local,KCP-default,3,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,175.989,1
saturated-local,KCP-default,4,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,195.278,1
saturated-local,KCP-default,5,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,216.500,1
saturated-local,KCP-fast,1,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,72.485,1
saturated-local,KCP-fast,2,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,64.299,1
saturated-local,KCP-fast,3,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,68.482,1
saturated-local,KCP-fast,4,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,70.752,1
saturated-local,KCP-fast,5,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,81.686,1
saturated-wan,zcrudp,1,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,76.753,1
saturated-wan,zcrudp,2,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,64.646,1
saturated-wan,zcrudp,3,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,59.490,1
saturated-wan,zcrudp,4,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,76.406,1
saturated-wan,zcrudp,5,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,63.850,1
saturated-wan,ENet,1,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,193.368,1
saturated-wan,ENet,2,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,182.564,1
saturated-wan,ENet,3,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,194.125,1
saturated-wan,ENet,4,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,185.287,1
saturated-wan,ENet,5,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,185.558,1
saturated-wan,KCP-default,1,2400,0,10,0,2400,31310,76.653,499,1499,2499,124800,314,0,170.201,1
saturated-wan,KCP-default,2,2400,0,10,0,2400,31310,76.653,499,1499,2499,124800,314,0,182.039,1
saturated-wan,KCP-default,3,2400,0,10,0,2400,31310,76.653,499,1499,2499,124800,314,0,182.716,1
saturated-wan,KCP-default,4,2400,0,10,0,2400,31310,76.653,499,1499,2499,124800,314,0,182.630,1
saturated-wan,KCP-default,5,2400,0,10,0,2400,31310,76.653,499,1499,2499,124800,314,0,191.913,1
saturated-wan,KCP-fast,1,2400,0,10,0,2400,1510,1589.404,29,29,40,124800,298,0,79.915,1
saturated-wan,KCP-fast,2,2400,0,10,0,2400,1510,1589.404,29,29,40,124800,298,0,86.070,1
saturated-wan,KCP-fast,3,2400,0,10,0,2400,1510,1589.404,29,29,40,124800,298,0,74.579,1
saturated-wan,KCP-fast,4,2400,0,10,0,2400,1510,1589.404,29,29,40,124800,298,0,80.151,1
saturated-wan,KCP-fast,5,2400,0,10,0,2400,1510,1589.404,29,29,40,124800,298,0,93.433,1
saturated-loss,zcrudp,1,2400,0,10,1,2400,1287,1864.802,12,114,115,21040,82,3,91.452,1
saturated-loss,zcrudp,2,2400,0,10,1,2400,1016,2362.205,13,15,15,19512,78,0,71.493,1
saturated-loss,zcrudp,3,2400,0,10,1,2400,1007,2383.317,13,15,15,19512,78,0,75.910,1
saturated-loss,zcrudp,4,2400,0,10,1,2400,953,2518.363,11,15,15,19512,78,0,79.738,1
saturated-loss,zcrudp,5,2400,0,10,1,2400,968,2479.339,13,15,15,19512,78,0,69.871,1
saturated-loss,ENet,1,2400,0,10,1,2400,1056,2272.727,12,37,49,45508,169,4,259.686,1
saturated-loss,ENet,2,2400,0,10,1,2400,999,2402.402,13,15,15,43738,162,0,266.090,1
saturated-loss,ENet,3,2400,0,10,1,2400,1067,2249.297,13,15,15,45208,167,3,213.750,1
saturated-loss,ENet,4,2400,0,10,1,2400,988,2429.150,12,15,51,44046,161,1,202.583,1
saturated-loss,ENet,5,2400,0,10,1,2400,991,2421.796,13,15,48,44052,163,1,202.465,1
saturated-loss,KCP-default,1,2400,0,10,1,2400,54911,43.707,1099,3197,4099,126760,537,8,282.348,1
saturated-loss,KCP-default,2,2400,0,10,1,2400,31314,76.643,503,1503,2495,124800,314,0,227.940,1
saturated-loss,KCP-default,3,2400,0,10,1,2400,49311,48.671,901,2911,3696,127172,484,6,277.987,1
saturated-loss,KCP-default,4,2400,0,10,1,2400,36610,65.556,699,1897,2498,125136,365,1,202.160,1
saturated-loss,KCP-default,5,2400,0,10,1,2400,50412,47.608,1098,2515,3598,126852,499,5,247.910,1
saturated-loss,KCP-fast,1,2400,0,10,1,2400,2963,809.990,55,94,110,139876,224,5,95.303,1
saturated-loss,KCP-fast,2,2400,0,10,1,2400,2781,862.999,56,61,62,128076,236,0,93.343,1
saturated-loss,KCP-fast,3,2400,0,10,1,2400,2934,817.996,57,62,140,132196,226,3,93.359,1
saturated-loss,KCP-fast,4,2400,0,10,1,2400,2784,862.069,56,62,107,126464,213,1,90.034,1
saturated-loss,KCP-fast,5,2400,0,10,1,2400,2780,863.309,53,61,99,131456,218,2,90.484,1
240hz-clean,zcrudp,1,2400,240,10,0,2400,10006,239.856,10,10,10,38400,4800,0,307.822,1
240hz-clean,zcrudp,2,2400,240,10,0,2400,10006,239.856,10,10,10,38400,4800,0,302.126,1
240hz-clean,zcrudp,3,2400,240,10,0,2400,10006,239.856,10,10,10,38400,4800,0,339.750,1
240hz-clean,zcrudp,4,2400,240,10,0,2400,10006,239.856,10,10,10,38400,4800,0,317.085,1
240hz-clean,zcrudp,5,2400,240,10,0,2400,10006,239.856,10,10,10,38400,4800,0,304.319,1
240hz-clean,ENet,1,2400,240,10,0,2400,10006,239.856,10,10,10,57970,4838,0,500.914,1
240hz-clean,ENet,2,2400,240,10,0,2400,10006,239.856,10,10,10,57970,4838,0,646.465,1
240hz-clean,ENet,3,2400,240,10,0,2400,10006,239.856,10,10,10,57970,4838,0,517.767,1
240hz-clean,ENet,4,2400,240,10,0,2400,10006,239.856,10,10,10,57970,4838,0,497.018,1
240hz-clean,ENet,5,2400,240,10,0,2400,10006,239.856,10,10,10,57970,4838,0,491.859,1
240hz-clean,KCP-default,1,2400,240,10,0,2400,31310,76.653,15293,20768,21168,124800,314,0,190.105,1
240hz-clean,KCP-default,2,2400,240,10,0,2400,31310,76.653,15293,20768,21168,124800,314,0,178.720,1
240hz-clean,KCP-default,3,2400,240,10,0,2400,31310,76.653,15293,20768,21168,124800,314,0,177.740,1
240hz-clean,KCP-default,4,2400,240,10,0,2400,31310,76.653,15293,20768,21168,124800,314,0,174.717,1
240hz-clean,KCP-default,5,2400,240,10,0,2400,31310,76.653,15293,20768,21168,124800,314,0,171.012,1
