scenario,library,seed,messages,offered_rate,delay_ms,loss_percent,delivered,elapsed_sim_ms,goodput_msg_s,p50_ms,p95_ms,p99_ms,wire_bytes,wire_packets,lost_packets,harness_ns_per_delivery,complete
saturated-local,zcrudp,1,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,30.172,1
saturated-local,zcrudp,2,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,32.545,1
saturated-local,zcrudp,3,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,30.448,1
saturated-local,zcrudp,4,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,31.696,1
saturated-local,zcrudp,5,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,30.565,1
saturated-local,ENet,1,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,135.018,1
saturated-local,ENet,2,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,163.113,1
saturated-local,ENet,3,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,148.278,1
saturated-local,ENet,4,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,128.803,1
saturated-local,ENet,5,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,146.446,1
saturated-local,ENet-zpl,1,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,131.657,1
saturated-local,ENet-zpl,2,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,148.498,1
saturated-local,ENet-zpl,3,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,129.169,1
saturated-local,ENet-zpl,4,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,116.295,1
saturated-local,ENet-zpl,5,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,127.721,1
saturated-local,KCP-default,1,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,162.013,1
saturated-local,KCP-default,2,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,208.060,1
saturated-local,KCP-default,3,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,155.138,1
saturated-local,KCP-default,4,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,158.168,1
saturated-local,KCP-default,5,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,189.323,1
saturated-local,KCP-fast,1,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,64.844,1
saturated-local,KCP-fast,2,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,67.051,1
saturated-local,KCP-fast,3,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,78.608,1
saturated-local,KCP-fast,4,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,74.180,1
saturated-local,KCP-fast,5,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,58.712,1
saturated-wan,zcrudp,1,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,75.128,1
saturated-wan,zcrudp,2,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,74.834,1
saturated-wan,zcrudp,3,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,71.326,1
saturated-wan,zcrudp,4,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,69.935,1
saturated-wan,zcrudp,5,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,74.686,1
saturated-wan,ENet,1,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,180.505,1
saturated-wan,ENet,2,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,169.571,1
saturated-wan,ENet,3,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,186.788,1
saturated-wan,ENet,4,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,165.637,1
saturated-wan,ENet,5,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,168.367,1
saturated-wan,ENet-zpl,1,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,195.838,1
saturated-wan,ENet-zpl,2,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,163.974,1
saturated-wan,ENet-zpl,3,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,167.672,1
saturated-wan,ENet-zpl,4,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,165.089,1
saturated-wan,ENet-zpl,5,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,160.700,1
saturated-wan,KCP-default,1,2400,0,10,0,2400,31310,76.653,499,1499,2499,124800,314,0,160.770,1
saturated-wan,KCP-default,2,2400,0,10,0,2400,31310,76.653,499,1499,2499,124800,314,0,164.444,1
saturated-wan,KCP-default,3,2400,0,10,0,2400,31310,76.653,499,1499,2499,124800,314,0,175.035,1
saturated-wan,KCP-default,4,2400,0,10,0,2400,31310,76.653,499,1499,2499,124800,314,0,177.717,1
saturated-wan,KCP-default,5,2400,0,10,0,2400,31310,76.653,499,1499,2499,124800,314,0,150.062,1
saturated-wan,KCP-fast,1,2400,0,10,0,2400,1510,1589.404,29,29,40,124800,298,0,72.706,1
saturated-wan,KCP-fast,2,2400,0,10,0,2400,1510,1589.404,29,29,40,124800,298,0,85.409,1
saturated-wan,KCP-fast,3,2400,0,10,0,2400,1510,1589.404,29,29,40,124800,298,0,69.638,1
saturated-wan,KCP-fast,4,2400,0,10,0,2400,1510,1589.404,29,29,40,124800,298,0,69.539,1
saturated-wan,KCP-fast,5,2400,0,10,0,2400,1510,1589.404,29,29,40,124800,298,0,62.837,1
saturated-loss,zcrudp,1,2400,0,10,1,2400,1088,2205.882,12,47,48,21040,82,3,87.321,1
saturated-loss,zcrudp,2,2400,0,10,1,2400,1016,2362.205,13,15,15,19512,78,0,85.840,1
saturated-loss,zcrudp,3,2400,0,10,1,2400,1007,2383.317,13,15,15,19512,78,0,99.319,1
saturated-loss,zcrudp,4,2400,0,10,1,2400,953,2518.363,11,15,15,19512,78,0,78.259,1
