scenario,initial_rto_ms,library,seed,messages,offered_rate,delay_ms,loss_percent,delivered,elapsed_sim_ms,goodput_msg_s,p50_ms,p95_ms,p99_ms,wire_bytes,wire_packets,lost_packets,harness_ns_per_delivery,complete
ping250-clean,100,zcrudp,1,2400,240,125,0,2400,10121,237.131,125,125,125,76800,9600,0,1201.984,1
ping250-clean,100,zcrudp,2,2400,240,125,0,2400,10121,237.131,125,125,125,76800,9600,0,1099.022,1
ping250-clean,100,zcrudp,3,2400,240,125,0,2400,10121,237.131,125,125,125,76800,9600,0,1304.867,1
ping250-clean,100,zcrudp,4,2400,240,125,0,2400,10121,237.131,125,125,125,76800,9600,0,1211.284,1
ping250-clean,100,zcrudp,5,2400,240,125,0,2400,10121,237.131,125,125,125,76800,9600,0,1736.239,1
ping250-clean,300,zcrudp,1,2400,240,125,0,2400,10121,237.131,125,125,125,38400,4800,0,881.657,1
ping250-clean,300,zcrudp,2,2400,240,125,0,2400,10121,237.131,125,125,125,38400,4800,0,824.820,1
ping250-clean,300,zcrudp,3,2400,240,125,0,2400,10121,237.131,125,125,125,38400,4800,0,927.960,1
ping250-clean,300,zcrudp,4,2400,240,125,0,2400,10121,237.131,125,125,125,38400,4800,0,843.057,1
ping250-clean,300,zcrudp,5,2400,240,125,0,2400,10121,237.131,125,125,125,38400,4800,0,808.186,1
ping250-loss,100,zcrudp,1,2400,240,125,2,2400,10337,232.176,222,371,426,44788,1185,18,696.858,1
ping250-loss,100,zcrudp,2,2400,240,125,2,2400,10179,235.780,203,328,344,45228,1479,22,793.078,1
ping250-loss,100,zcrudp,3,2400,240,125,2,2400,10199,235.317,208,317,379,47096,1784,36,813.841,1
ping250-loss,100,zcrudp,4,2400,240,125,2,2400,10305,232.897,225,367,384,45260,1505,28,752.478,1
ping250-loss,100,zcrudp,5,2400,240,125,2,2400,10241,234.352,202,318,347,45620,1539,34,763.187,1
ping250-loss,300,zcrudp,1,2400,240,125,2,2400,11438,209.827,1189,1458,1480,22004,357,8,733.979,1
ping250-loss,300,zcrudp,2,2400,240,125,2,2400,10711,224.069,590,848,872,22368,580,5,716.020,1
ping250-loss,300,zcrudp,3,2400,240,125,2,2400,11189,214.496,928,1400,1429,22752,504,14,709.879,1
ping250-loss,300,zcrudp,4,2400,240,125,2,2400,10475,229.117,343,583,606,21600,468,9,670.192,1
ping250-loss,300,zcrudp,5,2400,240,125,2,2400,11625,206.452,1552,1723,1750,21668,335,5,684.300,1
