scenario,library,seed,messages,offered_rate,delay_ms,loss_percent,delivered,elapsed_sim_ms,goodput_msg_s,p50_ms,p95_ms,p99_ms,wire_bytes,wire_packets,lost_packets,harness_ns_per_delivery,complete
saturated-local,zcrudp,1,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,35.686,1
saturated-local,zcrudp,2,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,36.322,1
saturated-local,zcrudp,3,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,33.973,1
saturated-local,zcrudp,4,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,32.166,1
saturated-local,zcrudp,5,2400,0,1,0,2400,115,20869.565,1,1,1,19512,78,0,36.159,1
saturated-local,ENet,1,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,165.807,1
saturated-local,ENet,2,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,144.596,1
saturated-local,ENet,3,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,195.237,1
saturated-local,ENet,4,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,168.856,1
saturated-local,ENet,5,2400,0,1,0,2400,115,20869.565,1,1,1,43662,154,0,236.999,1
saturated-local,KCP-default,1,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,180.368,1
saturated-local,KCP-default,2,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,221.565,1
saturated-local,KCP-default,3,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,172.601,1
saturated-local,KCP-default,4,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,183.350,1
saturated-local,KCP-default,5,2400,0,1,0,2400,31301,76.675,499,1499,2499,124800,314,0,187.766,1
saturated-local,KCP-fast,1,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,63.565,1
saturated-local,KCP-fast,2,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,84.101,1
saturated-local,KCP-fast,3,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,76.980,1
saturated-local,KCP-fast,4,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,70.068,1
saturated-local,KCP-fast,5,2400,0,1,0,2400,1491,1609.658,29,29,31,124800,150,0,70.907,1
saturated-wan,zcrudp,1,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,85.407,1
saturated-wan,zcrudp,2,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,104.741,1
saturated-wan,zcrudp,3,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,71.122,1
saturated-wan,zcrudp,4,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,67.793,1
saturated-wan,zcrudp,5,2400,0,10,0,2400,808,2970.297,10,10,10,19512,78,0,68.072,1
saturated-wan,ENet,1,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,225.748,1
saturated-wan,ENet,2,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,254.651,1
saturated-wan,ENet,3,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,223.847,1
saturated-wan,ENet,4,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,176.155,1
saturated-wan,ENet,5,2400,0,10,0,2400,808,2970.297,10,10,10,43680,156,0,188.357,1
saturated-wan,KCP-default,1,2400,0,10,0,2400,31310,76.653,499,1499,2499,124800,314,0,171.736,1
saturated-wan,KCP-default,2,2400,0,10,0,2400,31310,76.653,499,1499,2499,124800,314,0,244.498,1
saturated-wan,KCP-default,3,2400,0,10,0,2400,31310,76.653,499,1499,2499,124800,314,0,170.870,1
saturated-wan,KCP-default,4,2400,0,10,0,2400,31310,76.653,499,1499,2499,124800,314,0,250.136,1
saturated-wan,KCP-default,5,2400,0,10,0,2400,31310,76.653,499,1499,2499,124800,314,0,222.475,1
saturated-wan,KCP-fast,1,2400,0,10,0,2400,1510,1589.404,29,29,40,124800,298,0,92.238,1
saturated-wan,KCP-fast,2,2400,0,10,0,2400,1510,1589.404,29,29,40,124800,298,0,90.913,1
saturated-wan,KCP-fast,3,2400,0,10,0,2400,1510,1589.404,29,29,40,124800,298,0,90.681,1
saturated-wan,KCP-fast,4,2400,0,10,0,2400,1510,1589.404,29,29,40,124800,298,0,91.074,1
saturated-wan,KCP-fast,5,2400,0,10,0,2400,1510,1589.404,29,29,40,124800,298,0,133.088,1
saturated-loss,zcrudp,1,2400,0,10,1,2400,1287,1864.802,12,114,115,21040,82,3,89.463,1
saturated-loss,zcrudp,2,2400,0,10,1,2400,1016,2362.205,13,15,15,19512,78,0,76.018,1
saturated-loss,zcrudp,3,2400,0,10,1,2400,1007,2383.317,13,15,15,19512,78,0,88.252,1
saturated-loss,zcrudp,4,2400,0,10,1,2400,953,2518.363,11,15,15,19512,78,0,78.406,1
saturated-loss,zcrudp,5,2400,0,10,1,2400,968,2479.339,13,15,15,19512,78,0,89.730,1
saturated-loss,ENet,1,2400,0,10,1,2400,1056,2272.727,12,37,49,45508,169,4,248.558,1
saturated-loss,ENet,2,2400,0,10,1,2400,999,2402.402,13,15,15,43738,162,0,184.988,1
saturated-loss,ENet,3,2400,0,10,1,2400,1067,2249.297,13,15,15,45208,167,3,272.512,1
saturated-loss,ENet,4,2400,0,10,1,2400,988,2429.150,12,15,51,44046,161,1,244.589,1
saturated-loss,ENet,5,2400,0,10,1,2400,991,2421.796,13,15,48,44052,163,1,479.288,1
saturated-loss,KCP-default,1,2400,0,10,1,2400,54911,43.707,1099,3197,4099,126760,537,8,322.233,1
saturated-loss,KCP-default,2,2400,0,10,1,2400,31314,76.643,503,1503,2495,124800,314,0,196.492,1
saturated-loss,KCP-default,3,2400,0,10,1,2400,49311,48.671,901,2911,3696,127172,484,6,386.298,1
saturated-loss,KCP-default,4,2400,0,10,1,2400,36610,65.556,699,1897,2498,125136,365,1,196.133,1
saturated-loss,KCP-default,5,2400,0,10,1,2400,50412,47.608,1098,2515,3598,126852,499,5,361.639,1
saturated-loss,KCP-fast,1,2400,0,10,1,2400,2963,809.990,55,94,110,139876,224,5,82.201,1
saturated-loss,KCP-fast,2,2400,0,10,1,2400,2781,862.999,56,61,62,128076,236,0,124.946,1
saturated-loss,KCP-fast,3,2400,0,10,1,2400,2934,817.996,57,62,140,132196,226,3,87.904,1
saturated-loss,KCP-fast,4,2400,0,10,1,2400,2784,862.069,56,62,107,126464,213,1,109.840,1
saturated-loss,KCP-fast,5,2400,0,10,1,2400,2780,863.309,53,61,99,131456,218,2,80.321,1
240hz-clean,zcrudp,1,2400,240,10,0,2400,10006,239.856,10,10,10,38400,4800,0,378.549,1
240hz-clean,zcrudp,2,2400,240,10,0,2400,10006,239.856,10,10,10,38400,4800,0,390.133,1
240hz-clean,zcrudp,3,2400,240,10,0,2400,10006,239.856,10,10,10,38400,4800,0,472.817,1
240hz-clean,zcrudp,4,2400,240,10,0,2400,10006,239.856,10,10,10,38400,4800,0,1030.233,1
240hz-clean,zcrudp,5,2400,240,10,0,2400,10006,239.856,10,10,10,38400,4800,0,320.073,1
240hz-clean,ENet,1,2400,240,10,0,2400,10006,239.856,10,10,10,57970,4838,0,519.440,1
240hz-clean,ENet,2,2400,240,10,0,2400,10006,239.856,10,10,10,57970,4838,0,544.543,1
240hz-clean,ENet,3,2400,240,10,0,2400,10006,239.856,10,10,10,57970,4838,0,540.158,1
240hz-clean,ENet,4,2400,240,10,0,2400,10006,239.856,10,10,10,57970,4838,0,564.333,1
240hz-clean,ENet,5,2400,240,10,0,2400,10006,239.856,10,10,10,57970,4838,0,559.469,1
240hz-clean,KCP-default,1,2400,240,10,0,2400,31310,76.653,15293,20768,21168,124800,314,0,223.771,1
240hz-clean,KCP-default,2,2400,240,10,0,2400,31310,76.653,15293,20768,21168,124800,314,0,234.024,1
240hz-clean,KCP-default,3,2400,240,10,0,2400,31310,76.653,15293,20768,21168,124800,314,0,167.663,1
240hz-clean,KCP-default,4,2400,240,10,0,2400,31310,76.653,15293,20768,21168,124800,314,0,325.350,1
240hz-clean,KCP-default,5,2400,240,10,0,2400,31310,76.653,15293,20768,21168,124800,314,0,190.197,1
240hz-clean,KCP-fast,1,2400,240,10,0,2400,10010,239.760,15,19,19,124800,2000,0,153.505,1
240hz-clean,KCP-fast,2,2400,240,10,0,2400,10010,239.760,15,19,19,124800,2000,0,225.127,1
240hz-clean,KCP-fast,3,2400,240,10,0,2400,10010,239.760,15,19,19,124800,2000,0,233.738,1
240hz-clean,KCP-fast,4,2400,240,10,0,2400,10010,239.760,15,19,19,124800,2000,0,223.466,1
240hz-clean,KCP-fast,5,2400,240,10,0,2400,10010,239.760,15,19,19,124800,2000,0,235.305,1
240hz-loss1,zcrudp,1,2400,240,10,1,2400,10007,239.832,13,43,69,38244,4695,51,601.005,1
240hz-loss1,zcrudp,2,2400,240,10,1,2400,10008,239.808,13,33,51,38148,4689,41,646.786,1
240hz-loss1,zcrudp,3,2400,240,10,1,2400,10011,239.736,13,34,52,38204,4705,49,389.087,1
240hz-loss1,zcrudp,4,2400,240,10,1,2400,10008,239.808,13,38,53,38220,4695,53,400.346,1
240hz-loss1,zcrudp,5,2400,240,10,1,2400,10006,239.856,13,33,49,38156,4691,52,388.273,1
240hz-loss1,ENet,1,2400,240,10,1,2400,10011,239.736,13,36,50,58692,4782,53,541.310,1
240hz-loss1,ENet,2,2400,240,10,1,2400,10006,239.856,13,27,47,58352,4725,41,740.717,1
240hz-loss1,ENet,3,2400,240,10,1,2400,10010,239.760,13,25,45,58758,4800,50,837.712,1
240hz-loss1,ENet,4,2400,240,10,1,2400,10017,239.593,13,34,47,58754,4778,55,601.572,1
240hz-loss1,ENet,5,2400,240,10,1,2400,10007,239.832,13,35,50,58570,4742,52,674.991,1
